date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2023-12-01,Monthly,-0.03672627865288761,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.012373718293893962,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.0424829198729898,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.05585149222493435,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,-0.048209014340453736,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,-0.032925410599946726,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,-0.04298019021619107,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,-0.015345362311459812,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,-0.04073971906749677,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,-0.05912212442157527,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,-0.03263574656286546,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.007718261473068903,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,-0.03516826733642656,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,0.057905563048224286,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.04139708309255644,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.009437425899754418,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
